Gene	Symbol	Name	Annotation	Interpro_Pfam	GO
NVEC200_011348_1.1	Loxhd1	Lipoxygenase-likey domain-containing protein 1	Lipoxygenase homology domain-containing protein 1 (Mus musculus OX%3D10090)	"InterPro:IPR001024,InterPro:IPR020683,Pfam:PF01477,Pfam:PF12796"	GO:0005515
NVEC200_011349_1.1	SRY	Sex-determining region Y protein	Sex-determining region Y protein (Canis lupus familiaris OX%3D9615)	"InterPro:IPR009071,InterPro:IPR011124,InterPro:IPR011598,Pfam:PF00010,Pfam:PF00505,Pfam:PF07496"	"GO:0008270,GO:0046983"
NVEC200_011350_1.1	LRSAM1	Leucine rich repeat and sterile alpha motif containing 1	E3 ubiquitin-protein ligase LRSAM1 (Homo sapiens OX%3D9606)	"InterPro:IPR001611,InterPro:IPR001660,Pfam:PF00536,Pfam:PF13855,Pfam:PF13920"	GO:0005515
NVEC200_011351_1.1	nhl-1	RING-type domain-containing protein	RING finger protein nhl-1 (Caenorhabditis elegans OX%3D6239)	"InterPro:IPR027370,Pfam:PF13445,Pfam:PF17170"	
NVEC200_011352_1.1	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	Dual specificity mitogen-activated protein kinase kinase 7 (Homo sapiens OX%3D9606)	"InterPro:IPR000719,Pfam:PF00069"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_011353_1.1	HS2ST1	Heparan sulfate 2-O-sulfotransferase 1	Heparan sulfate 2-O-sulfotransferase 1 (Gallus gallus OX%3D9031)	"InterPro:IPR005331,Pfam:PF03567"	"GO:0008146,GO:0016021"
NVEC200_011354_1.1	ADGRL3	Cadherin EGF LAG seven-pass G-type receptor 2	Adhesion G protein-coupled receptor L3 (Homo sapiens OX%3D9606)	"InterPro:IPR000082,InterPro:IPR000203,InterPro:IPR000832,InterPro:IPR001879,InterPro:IPR032471,Pfam:PF00002,Pfam:PF01390,Pfam:PF01825,Pfam:PF02793,Pfam:PF16489"	"GO:0004930,GO:0007186,GO:0016020,GO:0016021"
NVEC200_011355_1.1		SCP domain-containing protein	Similar to Cysteine-rich venom protein (Fragment) (Trimeresurus stejnegeri OX%3D39682)	"InterPro:IPR003582,InterPro:IPR014044,Pfam:PF00188,Pfam:PF01549"	
NVEC200_011356_1.1	YLR126C	Glutamine amidotransferase type-1 domain-containing protein	Putative glutamine amidotransferase YLR126C (Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX%3D559292)	"InterPro:IPR017926,Pfam:PF00117"	
NVEC200_011357_1.1	GGP3	Glutamine amidotransferase type-1 domain-containing protein	Gamma-glutamyl peptidase 3 (Arabidopsis thaliana OX%3D3702)	"InterPro:IPR017926,Pfam:PF00117"	
NVEC200_011358_1.1		NVEC200_011358_1.1	Unknown protein		
NVEC200_011359_1.1		NVEC200_011359_1.1	Unknown protein		
NVEC200_011360_1.1	COLGALT1	Procollagen galactosyltransferase 1	Procollagen galactosyltransferase 1 (Bos taurus OX%3D9913)	"InterPro:IPR002654,Pfam:PF01755,Pfam:PF13704"	
NVEC200_011361_1.1	HMCN1	Hemicentin 1	Hemicentin-1 (Homo sapiens OX%3D9606)	"InterPro:IPR000884,Pfam:PF00090"	
NVEC200_011362_1.1		Complement component C3	Similar to A.superbus venom factor 1 (Austrelaps superbus OX%3D29156)	"InterPro:IPR001599,InterPro:IPR002890,InterPro:IPR009048,InterPro:IPR011625,InterPro:IPR011626,InterPro:IPR018933,InterPro:IPR040839,InterPro:IPR041425,InterPro:IPR041555,Pfam:PF00207,Pfam:PF01759,Pfam:PF01835,Pfam:PF07677,Pfam:PF07678,Pfam:PF07703,Pfam:PF17789,Pfam:PF17790,Pfam:PF17791"	
NVEC200_011363_1.1		NVEC200_011363_1.1	Unknown protein		
NVEC200_011364_1.1	AIF1	Allograft inflammatory factor 1	Allograft inflammatory factor 1 (Homo sapiens OX%3D9606)	"InterPro:IPR002048,Pfam:PF13499"	GO:0005509
NVEC200_011365_1.1	Inpp5e	72 kDa inositol polyphosphate 5-phosphatase	Phosphatidylinositol polyphosphate 5-phosphatase type IV (Mus musculus OX%3D10090)	"InterPro:IPR005135,Pfam:PF03372"	
NVEC200_011366_1.1	SURF2	Surfeit 2	Surfeit locus protein 2 (Homo sapiens OX%3D9606)	"InterPro:IPR008833,Pfam:PF05477"	
NVEC200_011367_1.1	ASPM	abnormal spindle-like microcephaly-associated protein homolog	Abnormal spindle-like microcephaly-associated protein homolog (Canis lupus familiaris OX%3D9615)	"InterPro:IPR000048,InterPro:IPR001715,InterPro:IPR031549,Pfam:PF00307,Pfam:PF00612,Pfam:PF15780"	GO:0005515
NVEC200_011368_1.1	egt-2	Aminotran_5 domain-containing protein	Hercynylcysteine sulfoxide lyase (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX%3D367110)	"InterPro:IPR000192,Pfam:PF00266"	
NVEC200_011369_1.1	Ddx39b	Spliceosome RNA helicase DDX39B	Spliceosome RNA helicase Ddx39b (Rattus norvegicus OX%3D10116)	"InterPro:IPR001650,InterPro:IPR011545,Pfam:PF00270,Pfam:PF00271"	"GO:0003676,GO:0005524"
NVEC200_011370_1.1		NVEC200_011370_1.1	Unknown protein		
NVEC200_011371_1.1	C2	Complement factor B	Complement C2 (Bos taurus OX%3D9913)	"InterPro:IPR000436,InterPro:IPR001254,InterPro:IPR002035,Pfam:PF00084,Pfam:PF00089,Pfam:PF00092"	"GO:0004252,GO:0006508"
NVEC200_011372_1.1		NVEC200_011372_1.1	Unknown protein		
NVEC200_011373_1.1	Miga2	Protein FAM73B	Mitoguardin 2 (Mus musculus OX%3D10090)	"InterPro:IPR019392,Pfam:PF10265"	GO:0008053
NVEC200_011374_1.1	Ubr4	E3 ubiquitin-protein ligase UBR4	E3 ubiquitin-protein ligase UBR4 (Mus musculus OX%3D10090)	"InterPro:IPR003126,InterPro:IPR025704,Pfam:PF02207,Pfam:PF13764"	GO:0008270
NVEC200_011375_1.1		Transposon TX1 uncharacterized 149 kDa protein	Similar to Transposon TX1 uncharacterized 149 kDa protein (Xenopus laevis OX%3D8355)	"InterPro:IPR000477,InterPro:IPR005135,InterPro:IPR026960,Pfam:PF00078,Pfam:PF03372,Pfam:PF13966"	
NVEC200_011376_1.1		NVEC200_011376_1.1	Unknown protein		
NVEC200_011377_1.1	pol	Reverse transcriptase domain-containing protein	RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227)	"InterPro:IPR000477,Pfam:PF00078"	
NVEC200_011378_1.1	Rc3h2	Roquin-2 (Mus musculus OX%3D10090)	Roquin-2 (Mus musculus OX%3D10090)	"InterPro:IPR000571,InterPro:IPR001841,InterPro:IPR041523,Pfam:PF00642,Pfam:PF14634,Pfam:PF18386"	GO:0046872
NVEC200_011379_1.1	CCDC180	Coiled-coil domain-containing protein 180	Coiled-coil domain-containing protein 180 (Homo sapiens OX%3D9606)	"InterPro:IPR027914,InterPro:IPR028089,Pfam:PF14643,Pfam:PF14644"	
NVEC200_011380_1.1	UVR8	Ultraviolet-B receptor UVR8	Ultraviolet-B receptor UVR8 (Arabidopsis thaliana OX%3D3702)	"InterPro:IPR000408,InterPro:IPR001806,Pfam:PF00071,Pfam:PF00415,Pfam:PF13540"	"GO:0003924,GO:0005525"
NVEC200_011381_1.1	PSMD5	26S proteasome non-ATPase regulatory subunit 5	26S proteasome non-ATPase regulatory subunit 5 (Bos taurus OX%3D9913)	"InterPro:IPR019538,Pfam:PF10508"	GO:0043248
NVEC200_011382_1.1	Suco	SUN domain-containing protein	SUN domain-containing ossification factor (Mus musculus OX%3D10090)	"InterPro:IPR012919,Pfam:PF07738"	
NVEC200_011383_1.1		NVEC200_011383_1.1	Unknown protein		
NVEC200_011384_1.1	Golga2	Golgin subfamily A member 2	Golgin subfamily A member 2 (Mus musculus OX%3D10090)	"InterPro:IPR024858,Pfam:PF15070"	GO:0005794
NVEC200_011385_1.1	Glipr2	Golgi-associated plant pathogenesis-related protein 1	Golgi-associated plant pathogenesis-related protein 1 (Mus musculus OX%3D10090)	"InterPro:IPR014044,Pfam:PF00188"	
NVEC200_011386_1.1	si:dkey-97o5.1	Uncharacterized protein C1orf112 homolog (Danio rerio OX%3D7955)	Uncharacterized protein C1orf112 homolog (Danio rerio OX%3D7955)	"InterPro:IPR027902,Pfam:PF14868"	
NVEC200_011387_1.1	DNMT1	DNA (cytosine-5)-methyltransferase	DNA (cytosine-5)-methyltransferase 1 (Gallus gallus OX%3D9031)	"InterPro:IPR001025,InterPro:IPR001525,InterPro:IPR002857,InterPro:IPR010506,InterPro:IPR022702,Pfam:PF00145,Pfam:PF01426,Pfam:PF02008,Pfam:PF06464,Pfam:PF12047"	"GO:0003677,GO:0003682,GO:0008168,GO:0008270"
NVEC200_011388_1.1		Mannan-binding lectin serine protease 1	Similar to Clotting factor C (Tachypleus tridentatus OX%3D6853)	"InterPro:IPR000436,InterPro:IPR001254,Pfam:PF00084,Pfam:PF00089"	"GO:0004252,GO:0006508"
NVEC200_011389_1.1	Oit3	pancreatic secretory granule membrane major glycoprotein GP2	Oncoprotein-induced transcript 3 protein (Rattus norvegicus OX%3D10116)	"InterPro:IPR001507,Pfam:PF00100"	
NVEC200_011390_1.1	Hpn	Mannan-binding lectin serine protease 1	Serine protease hepsin (Mus musculus OX%3D10090)	"InterPro:IPR000436,InterPro:IPR001254,Pfam:PF00084,Pfam:PF00089"	"GO:0004252,GO:0006508"
NVEC200_011391_1.1		NVEC200_011391_1.1	DUF885 domain-containing protein	"InterPro:IPR010281,Pfam:PF05960"	
NVEC200_011392_1.1	Gclm	Glutamate--cysteine ligase regulatory subunit	Glutamate--cysteine ligase regulatory subunit (Rattus norvegicus OX%3D10116)		
NVEC200_011393_1.1	RPAP2	RNA polymerase II associated protein 2	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 (Bos taurus OX%3D9913)	"InterPro:IPR007308,Pfam:PF04181"	
NVEC200_011394_1.1	GFI1B	Zinc finger protein Gfi-1b	Zinc finger protein Gfi-1b (Gallus gallus OX%3D9031)	"InterPro:IPR013087,Pfam:PF00096"	
NVEC200_011395_1.1	ChT	High affinity choline transporter 1	High-affinity choline transporter 1 (Drosophila melanogaster OX%3D7227)	"InterPro:IPR001734,Pfam:PF00474"	"GO:0016020,GO:0022857,GO:0055085"
NVEC200_011396_1.1	qtrt2	Queuine tRNA-ribosyltransferase accessory subunit 2	Queuine tRNA-ribosyltransferase accessory subunit 2 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR002616,Pfam:PF01702"	"GO:0006400,GO:0016763"
NVEC200_011397_1.1	Prrc2a	Proline rich coiled-coil 2A	Protein PRRC2A (Mus musculus OX%3D10090)	"InterPro:IPR009738,Pfam:PF07001"	
NVEC200_011398_1.1	slc44a2	Choline transporter-like protein 4	Choline transporter-like protein 2 (Xenopus laevis OX%3D8355)	"InterPro:IPR007603,Pfam:PF04515"	
NVEC200_011399_1.1	WHRN	Whirlin (Homo sapiens OX%3D9606)	Whirlin (Homo sapiens OX%3D9606)	"InterPro:IPR001478,Pfam:PF00595"	GO:0005515
NVEC200_011400_1.1	Os03g0167500	RING-type domain-containing protein	Receptor homology region%2C transmembrane domain- and RING domain-containing protein 1 (Oryza sativa subsp. japonica OX%3D39947)	"InterPro:IPR001841,Pfam:PF13639"	
NVEC200_011401_1.1	HENMT1	Small RNA 2'-O-methyltransferase	Small RNA 2'-O-methyltransferase (Gallus gallus OX%3D9031)	"InterPro:IPR025714,Pfam:PF13847"	
NVEC200_011402_1.1	Zdhhc12		Probable palmitoyltransferase ZDHHC12 (Rattus norvegicus OX%3D10116)	"InterPro:IPR001594,Pfam:PF01529"	GO:0016409
NVEC200_011403_1.1	DES1	Allene oxide synthase	9-divinyl ether synthase (Nicotiana tabacum OX%3D4097)	"InterPro:IPR001128,Pfam:PF00067"	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
NVEC200_011404_1.1	CYP74B2	Fatty acid hydroperoxide lyase	Probable inactive linolenate hydroperoxide lyase (Arabidopsis thaliana OX%3D3702)	"InterPro:IPR001128,Pfam:PF00067"	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
NVEC200_011405_1.1	FAM20B	FAM20B glycosaminoglycan xylosylkinase	Glycosaminoglycan xylosylkinase (Homo sapiens OX%3D9606)	"InterPro:IPR009581,Pfam:PF06702"	
NVEC200_011406_1.1	med27	Mediator of RNA polymerase II transcription subunit 27	Mediator of RNA polymerase II transcription subunit 27 (Danio rerio OX%3D7955)	"InterPro:IPR021627,Pfam:PF11571"	GO:0016592
NVEC200_011407_1.1	v1g226592	Unknown protein	Probable cytosolic iron-sulfur protein assembly protein CIAO1 homolog (Nematostella vectensis OX%3D45351)	"InterPro:IPR001680,Pfam:PF00400"	GO:0005515
NVEC200_011408_1.1	CRY1	Cryptochrome-1 (Homo sapiens OX%3D9606)	Cryptochrome-1 (Homo sapiens OX%3D9606)	"InterPro:IPR005101,InterPro:IPR006050,Pfam:PF00875,Pfam:PF03441"	
NVEC200_011409_1.1	v1g163483	Inosine triphosphate pyrophosphatase	Inosine triphosphate pyrophosphatase (Nematostella vectensis OX%3D45351)	"InterPro:IPR002637,Pfam:PF01725"	"GO:0009143,GO:0047429"
NVEC200_011410_1.1	Rad50	DNA repair protein RAD50	DNA repair protein RAD50 (Mus musculus OX%3D10090)	"InterPro:IPR013134,InterPro:IPR038729,Pfam:PF04423,Pfam:PF13476"	
NVEC200_011411_1.1		NVEC200_011411_1.1	Unknown protein		
NVEC200_011412_1.1		NVEC200_011412_1.1	GGACT domain-containing protein	"InterPro:IPR009288,Pfam:PF06094"	
NVEC200_011413_1.1	DOLPP1	Dolichyldiphosphatase 1	Dolichyldiphosphatase 1 (Homo sapiens OX%3D9606)	"InterPro:IPR000326,Pfam:PF01569"	
NVEC200_011414_1.1	DOLPP1	Dolichyldiphosphatase 1	Dolichyldiphosphatase 1 (Homo sapiens OX%3D9606)		
NVEC200_011415_1.1	Parp12	Poly [ADP-ribose] polymerase	Protein mono-ADP-ribosyltransferase PARP12 (Mus musculus OX%3D10090)	"InterPro:IPR004170,InterPro:IPR012317,Pfam:PF00644,Pfam:PF02825"	GO:0003950
NVEC200_011416_1.1	Arpc5	Actin-related protein 2/3 complex subunit 5	Actin-related protein 2/3 complex subunit 5 (Mus musculus OX%3D10090)	"InterPro:IPR006789,Pfam:PF04699"	"GO:0005885,GO:0015629,GO:0030833,GO:0034314"
NVEC200_011417_1.1		NVEC200_011417_1.1	ATP-binding Cassette (ABC) superfamily		
NVEC200_011418_1.1	Rnf26	RING-type domain-containing protein	E3 ubiquitin-protein ligase RNF26 (Mus musculus OX%3D10090)	Pfam:PF13920	
NVEC200_011419_1.1	mhkB	Myosin heavy chain kinase B	Myosin heavy chain kinase B (Dictyostelium discoideum OX%3D44689)	"InterPro:IPR001680,Pfam:PF00400"	GO:0005515
NVEC200_011420_1.1	Surf4	Surfeit locus protein 4-like	Surfeit locus protein 4 homolog (Drosophila melanogaster OX%3D7227)	"InterPro:IPR002995,Pfam:PF02077"	GO:0016021
NVEC200_011421_1.1	Flcn	Folliculin (Rattus norvegicus OX%3D10116)	Folliculin (Rattus norvegicus OX%3D10116)	"InterPro:IPR032035,InterPro:IPR037520,Pfam:PF11704,Pfam:PF16692"	GO:0005085
NVEC200_011422_1.1	Ptrh1	Peptidyl-tRNA hydrolase 1 homolog	Probable peptidyl-tRNA hydrolase (Mus musculus OX%3D10090)	"InterPro:IPR001328,Pfam:PF01195"	GO:0004045
NVEC200_011423_1.1	DNLZ	DNL-type zinc finger protein	DNL-type zinc finger protein (Homo sapiens OX%3D9606)	"InterPro:IPR007853,Pfam:PF05180"	GO:0008270
NVEC200_011424_1.1	IFIH1	interferon-induced helicase C domain-containing protein 1	Interferon-induced helicase C domain-containing protein 1 (Homo sapiens OX%3D9606)	"InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR021673,InterPro:IPR031964,InterPro:IPR041204,Pfam:PF00270,Pfam:PF00271,Pfam:PF11648,Pfam:PF16739,Pfam:PF18119"	"GO:0003676,GO:0005524"
NVEC200_011425_1.1	IFIH1	interferon-induced helicase C domain-containing protein 1	Interferon-induced helicase C domain-containing protein 1 (Homo sapiens OX%3D9606)	"InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR021673,InterPro:IPR031964,InterPro:IPR041204,Pfam:PF00270,Pfam:PF00271,Pfam:PF11648,Pfam:PF16739,Pfam:PF18119"	"GO:0003676,GO:0005524"
NVEC200_011426_1.1		NVEC200_011426_1.1	Unknown protein		
NVEC200_011427_1.1		NVEC200_011427_1.1	Fibrinogen C-terminal domain-containing protein	"InterPro:IPR002181,InterPro:IPR003609,Pfam:PF00024,Pfam:PF00147"	
NVEC200_011428_1.1		NVEC200_011428_1.1	Unknown protein		
NVEC200_011429_1.1	FCN1	Fibrinogen C domain-containing protein 1	Ficolin-1 (Homo sapiens OX%3D9606)	"InterPro:IPR002181,Pfam:PF00147"	
NVEC200_011430_1.1		NVEC200_011430_1.1	Unknown protein		
NVEC200_011431_1.1	DDR2	Discoidin domain-containing receptor 2	Discoidin domain-containing receptor 2 (Homo sapiens OX%3D9606)	"InterPro:IPR000421,InterPro:IPR001245,Pfam:PF00754,Pfam:PF07714"	"GO:0004672,GO:0006468"
NVEC200_011432_1.1		NVEC200_011432_1.1	mRNA	"InterPro:IPR000998,InterPro:IPR003582,Pfam:PF00629,Pfam:PF01549"	GO:0016020
NVEC200_011433_1.1	Lmx1b	LIM homeobox transcription factor 1-beta	LIM homeobox transcription factor 1-beta (Mus musculus OX%3D10090)	"InterPro:IPR001356,InterPro:IPR001781,Pfam:PF00046,Pfam:PF00412"	GO:0003677
NVEC200_011434_1.1		NVEC200_011434_1.1	Unknown protein		
NVEC200_011435_1.1		NVEC200_011435_1.1	Low-density lipoprotein receptor-related protein 4		
NVEC200_011436_1.1	PPP1R10	Serine/threonine-protein phosphatase 1 regulatory subunit 10	Serine/threonine-protein phosphatase 1 regulatory subunit 10 (Sus scrofa OX%3D9823)	"InterPro:IPR017923,Pfam:PF08711"	GO:0005634
NVEC200_011437_1.1	MRPS18B	Mitochondrial ribosomal protein S18B	28S ribosomal protein S18b%2C mitochondrial (Bos taurus OX%3D9913)	"InterPro:IPR001648,Pfam:PF01084"	"GO:0003735,GO:0005840,GO:0006412"
NVEC200_011438_1.1	NT5C1A	Cytosolic 5'-nucleotidase 1A (Homo sapiens OX%3D9606)	Cytosolic 5'-nucleotidase 1A (Homo sapiens OX%3D9606)		
NVEC200_011439_1.1		NVEC200_011439_1.1	Apple domain-containing protein		
NVEC200_011440_1.1	NT5C1A	"5'-nucleotidase,cytosolic IB b"	Cytosolic 5'-nucleotidase 1A (Homo sapiens OX%3D9606)	"InterPro:IPR010394,Pfam:PF06189"	"GO:0000166,GO:0000287,GO:0005737,GO:0008253,GO:0009117"
NVEC200_011441_1.1	TMEM237	Transmembrane protein 237	Transmembrane protein 237 (Gallus gallus OX%3D9031)	"InterPro:IPR029409,Pfam:PF15383"	
NVEC200_011442_1.1	Top3b	DNA topoisomerase	DNA topoisomerase 3-beta-1 (Mus musculus OX%3D10090)	"InterPro:IPR006171,InterPro:IPR013497,Pfam:PF01131,Pfam:PF01751"	"GO:0003677,GO:0003916,GO:0006265"
NVEC200_011443_1.1		NVEC200_011443_1.1	Unknown protein		
NVEC200_011444_1.1	ASTE1	XPGN domain-containing protein	Protein asteroid homolog 1 (Pongo abelii OX%3D9601)	"InterPro:IPR006085,Pfam:PF00752"	GO:0004518
NVEC200_011445_1.1		NVEC200_011445_1.1	Gag-Pol polyprotein		
NVEC200_011446_1.1		NVEC200_011446_1.1	Death domain-containing protein	"InterPro:IPR000488,Pfam:PF00531"	"GO:0005515,GO:0007165"
NVEC200_011447_1.1		NVEC200_011447_1.1	Death domain-containing protein		
NVEC200_011448_1.1	Acsf2	AMP-binding protein	Medium-chain acyl-CoA ligase ACSF2%2C mitochondrial (Rattus norvegicus OX%3D10116)	"InterPro:IPR000873,Pfam:PF00501"	GO:0003824
NVEC200_011449_1.1		NVEC200_011449_1.1	"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1"	"InterPro:IPR008628,Pfam:PF05719"	GO:0070273
NVEC200_011450_1.1	SET	Testis-specific Y-encoded-like protein 1	Protein SET (Homo sapiens OX%3D9606)	"InterPro:IPR002164,Pfam:PF00956"	"GO:0005634,GO:0006334"
NVEC200_011451_1.1		Endonuclease/reverse transcriptase	Similar to Uncharacterized protein C8orf76 homolog (Rattus norvegicus OX%3D10116)	"InterPro:IPR041404,Pfam:PF17826"	
NVEC200_011452_1.1	Synrg	Synergin gamma	Synergin gamma (Rattus norvegicus OX%3D10116)		
NVEC200_011453_1.1	Ehmt2	Histone-lysine N-methyltransferase EHMT2	Histone-lysine N-methyltransferase EHMT2 (Mus musculus OX%3D10090)	"InterPro:IPR001214,InterPro:IPR007728,InterPro:IPR020683,Pfam:PF00856,Pfam:PF05033,Pfam:PF12796"	"GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968"
NVEC200_011454_1.1	Acsm3	"Acyl-coenzyme A synthetase ACSM3,mitochondrial"	Acyl-coenzyme A synthetase ACSM3%2C mitochondrial (Mus musculus OX%3D10090)	"InterPro:IPR000873,InterPro:IPR025110,Pfam:PF00501,Pfam:PF13193"	GO:0003824
NVEC200_011455_1.1	CRAT	Carnitine O-acetyltransferase	Carnitine O-acetyltransferase (Homo sapiens OX%3D9606)	"InterPro:IPR039551,Pfam:PF00755"	
NVEC200_011456_1.1	CRAT	Carnitine O-acetyltransferase	Carnitine O-acetyltransferase (Columba livia OX%3D8932)	"InterPro:IPR039551,Pfam:PF00755"	
NVEC200_011457_1.1		NVEC200_011457_1.1	Retrovirus-related Pol polyprotein from transposon opus		
NVEC200_011458_1.1	EEF1AKMT4	Endothelin converting enzyme 2a	EEF1A lysine methyltransferase 4 (Homo sapiens OX%3D9606)	"InterPro:IPR025714,Pfam:PF13847"	
NVEC200_011459_1.1	Tmprss9	Chymotrypsinogen B	Transmembrane protease serine 9 (Rattus norvegicus OX%3D10116)	"InterPro:IPR001254,InterPro:IPR003582,Pfam:PF00089,Pfam:PF01549"	"GO:0004252,GO:0006508"
NVEC200_011460_1.1	Ctrb1	Chymotrypsinogen B	Chymotrypsinogen B (Mus musculus OX%3D10090)	"InterPro:IPR001254,InterPro:IPR003582,Pfam:PF00089,Pfam:PF01549"	"GO:0004252,GO:0006508"
NVEC200_011461_1.1	HAO1	hydroxyacid oxidase 2	Hydroxyacid oxidase 1 (Homo sapiens OX%3D9606)	"InterPro:IPR000262,Pfam:PF01070"	GO:0016491
NVEC200_011462_1.1	Hao1	Peroxisomal (S)-2-hydroxy-acid oxidase	Hydroxyacid oxidase 1 (Mus musculus OX%3D10090)	"InterPro:IPR000262,Pfam:PF01070"	GO:0016491
NVEC200_011463_1.1	HAO1	hydroxyacid oxidase 2	Hydroxyacid oxidase 1 (Homo sapiens OX%3D9606)	"InterPro:IPR000262,Pfam:PF01070"	GO:0016491
NVEC200_011464_1.1	Ptchd3	Patched domain-containing protein 3	Patched domain-containing protein 3 (Mus musculus OX%3D10090)	"InterPro:IPR003392,Pfam:PF02460"	GO:0016021
NVEC200_011465_1.1	ppsC	Phthiocerol synthesis polyketide synthase type I PpsC	Phthiocerol synthesis polyketide synthase type I PpsC (Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX%3D83332)	"InterPro:IPR001031,InterPro:IPR013968,Pfam:PF00975,Pfam:PF08659"	"GO:0009058,GO:0016788"
NVEC200_011466_1.1	CDA7	Chitin-binding type-2 domain-containing protein	Chitin deacetylase 7 (Bombyx mori OX%3D7091)	"InterPro:IPR002509,Pfam:PF01522"	"GO:0005975,GO:0016810"
NVEC200_011467_1.1	UGT2B7	UDP-glucuronosyltransferase 2B7 (Homo sapiens OX%3D9606)	UDP-glucuronosyltransferase 2B7 (Homo sapiens OX%3D9606)	"InterPro:IPR002213,Pfam:PF00201"	GO:0008194
NVEC200_011468_1.1	NELFB	Negative elongation factor B	Negative elongation factor B (Homo sapiens OX%3D9606)	"InterPro:IPR010405,Pfam:PF06209"	"GO:0005634,GO:0045892"
NVEC200_011469_1.1	v1g140887	"Ubiquitously-expressed,prefoldin-like chaperone"	Protein UXT homolog (Nematostella vectensis OX%3D45351)	"InterPro:IPR004127,Pfam:PF02996"	
NVEC200_011470_1.1	cysA	Serine-O-acetyltransferase cys2	Serine O-succinyltransferase (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX%3D227321)	"InterPro:IPR000073,Pfam:PF00561"	
NVEC200_011471_1.1		NVEC200_011471_1.1	Netrin-5		
NVEC200_011472_1.1		NVEC200_011472_1.1	GO:0003676		
NVEC200_011473_1.1	mthl3	G_PROTEIN_RECEP_F2_4 domain-containing protein	Probable G-protein coupled receptor Mth-like 3 (Drosophila melanogaster OX%3D7227)	"InterPro:IPR000832,InterPro:IPR001212,Pfam:PF00002,Pfam:PF01033"	"GO:0004930,GO:0007186,GO:0016021"
NVEC200_011474_1.1	PIGK	GPI-anchor transamidase	GPI-anchor transamidase (Bos taurus OX%3D9913)	"InterPro:IPR001096,Pfam:PF01650"	"GO:0006508,GO:0008233"
NVEC200_011475_1.1	AK5	UMP-CMP kinase	Adenylate kinase isoenzyme 5 (Homo sapiens OX%3D9606)	Pfam:PF00406	
NVEC200_011476_1.1		NVEC200_011476_1.1	Unknown protein	"InterPro:IPR040632,Pfam:PF17784"	
NVEC200_011477_1.1	pnbA	Carboxylic ester hydrolase	Para-nitrobenzyl esterase (Bacillus subtilis (strain 168) OX%3D224308)	"InterPro:IPR002018,Pfam:PF00135"	
NVEC200_011478_1.1		NVEC200_011478_1.1	Unknown protein		
NVEC200_011479_1.1		NVEC200_011479_1.1	Unknown protein	"InterPro:IPR004245,Pfam:PF02995"	
NVEC200_011480_1.1		NVEC200_011480_1.1	Unknown protein	"InterPro:IPR004245,Pfam:PF02995"	
NVEC200_011481_1.1	Tiparp	Poly [ADP-ribose] polymerase 12	Protein mono-ADP-ribosyltransferase TIPARP (Mus musculus OX%3D10090)		
NVEC200_011482_1.1	mRpS16	Mitochondrial ribosomal protein S16	Probable 28S ribosomal protein S16%2C mitochondrial (Drosophila melanogaster OX%3D7227)	"InterPro:IPR000307,Pfam:PF00886"	"GO:0003735,GO:0005840,GO:0006412"
NVEC200_011483_1.1	Pdss2	Decaprenyl-diphosphate synthase subunit 2	Decaprenyl-diphosphate synthase subunit 2 (Rattus norvegicus OX%3D10116)	"InterPro:IPR000092,Pfam:PF00348"	GO:0008299
NVEC200_011484_1.1	ZNF836	Unknown protein	Zinc finger protein 836 (Homo sapiens OX%3D9606)	"InterPro:IPR013087,Pfam:PF00096,Pfam:PF13912"	
NVEC200_011485_1.1		NVEC200_011485_1.1	Unknown protein		
NVEC200_011486_1.1		Down syndrome cell adhesion molecule-like protein Dscam2	Similar to Neuronal cell adhesion molecule (Gallus gallus OX%3D9031)	"InterPro:IPR003961,InterPro:IPR013098,Pfam:PF00041,Pfam:PF07679,Pfam:PF13927"	GO:0005515
NVEC200_011487_1.1	NOTUM	Protein notum-like	Palmitoleoyl-protein carboxylesterase NOTUM (Homo sapiens OX%3D9606)	"InterPro:IPR004963,Pfam:PF03283"	GO:0016787
NVEC200_011488_1.1	KAP115	Kinesin-associated protein 3	Kinesin-associated protein 3 (Strongylocentrotus purpuratus OX%3D7668)	Pfam:PF05804	
NVEC200_011489_1.1		NVEC200_011489_1.1	Scm-like with four MBT domains protein 2		
